	PC	ES1	EC	ES2	C	ES3
ppt_224428	0	0	0	0	6245.076917	0
ppt_189091	0	0	0	0	3304.499148	0
ppt_194923	0	0	0	0	3113.942349	0
ppt_121942	0	0	0	0	3000.40067	0
ppt_189090	0	0	0	0	2522.721964	0
ppt_65584	0	0	0	0	1883.560934	0
ppt_224429	0	0	0	0	1849.25849	0
ppt_224427	0	0	0	0	1844.804206	0
ppt_122064	0	0	0	0	1580.884076	0
ppt_124996	0	0	0	0	1516.070815	0
ppt_124991	0	0	0	0	1452.053455	0
ppt_124998	0	0	0	0	1380.840291	0
ppt_155946	0	0	0	0	1274.78721	0
ppt_173623	0	0	0	0	1225.69798	0
ppt_193942	0	0	0	0	1119.811941	0
ppt_202679	0	0	0	0	1103.858067	0
ppt_212075	0	0	0	0	1096.138816	0
ppt_219147	0	0	0	0	1093.374531	0
ppt_196316	0	0	0	0	1044.900688	0
ppt_162098	0	0	0	0	1040.74029	0
ppt_119022	0	0	0	0	1006.42975	0
ppt_172459	0	0	0	0	1002.042731	0
ppt_184788	0	0	0	0	944.0182154	0
ppt_123780	0	0	0	0	932.4882812	0
ppt_91710	0	0	0	0	850.3570327	0
ppt_180694	0	0	0	0	847.0882032	0
ppt_133685	0	0	0	0	835.1681624	0
ppt_133684	0	0	0	0	823.4672007	0
ppt_202249	0	0	0	0	821.2478431	0
ppt_193941	0	0	0	0	816.2098774	0
ppt_45728	0	0	0	0	778.7699571	0
ppt_219721	0	0	0	0	764.586047	0
ppt_110464	0	0	0	0	763.8624056	0
ppt_221221	0	0	0	0	762.5322448	0
ppt_91708	0	0	0	0	749.2132433	0
ppt_110467	0	0	0	0	747.4824399	0
ppt_110466	0	0	0	0	743.7428675	0
ppt_88150	0	0	0	0	729.2478444	0
ppt_110465	0	0	0	0	724.2794045	0
ppt_92039	0	0	0	0	712.6045632	0
ppt_124992	0	0	0	0	712.3292705	0
ppt_72489	0	0	0	0	703.7858734	0
ppt_89314	0	0	0	0	694.6257714	0
ppt_155949	0	0	0	0	671.7874548	0
ppt_241251	0	0	0	0	661.7262296	0
ppt_129312	0	0	0	0	658.2506985	0
