"X.ppt_224428.","X.E5FXB3tr.Glycine.rich.RNA.binding.protein..Sequoia.sempervirens..California.redwood...Taxodium.sempervirens..","X.GO.0006397..GO.0051252..GO.0003729..GO.0005634..GO.1990904.","X.NO.H."
"ppt_202188","---NA---","","HUB"
"ppt_101962","Q7XBH4sp=Myb-related protein Myb4 Oryza sativa subsp. japonica (Rice)","GO:0009409, GO:0030154, GO:0045893, GO:0003700, GO:0043565, GO:0005634","HUB"
"ppt_270446","A9NQJ9sp=Xyloglucan endotransglucosylase/hydrolase  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0010411, GO:0042546, GO:0071555, GO:0004553, GO:0016762, GO:0005618, GO:0048046","HUB"
"ppt_142651","---NA---","","HUB"
"ppt_65735","B8LKE3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006629","HUB"
"ppt_126804","U5CXK9tr=Uncharacterized protein  Amborella trichopoda","GO:0002229, GO:0006468, GO:0006952, GO:0007178, GO:0042742, GO:0004672, GO:0004675, GO:0005524, GO:0030246, GO:0005886, GO:0016020, GO:0016021","HUB"
"ppt_219007","---NA---","","HUB"
"ppt_219013","---NA---","","HUB"
"ppt_114864","A9NWB5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0016021","HUB"
"ppt_66286","A0A0D6R6X2tr=Uncharacterized protein  Araucaria cunninghamii (Hoop pine) (Moreton Bay pine)","GO:0045017, GO:0004144, GO:0016020, GO:0016021","HUB"
"ppt_56216","---NA---","","HUB"
"ppt_66282","A0A0D6R6X2tr=Uncharacterized protein  Araucaria cunninghamii (Hoop pine) (Moreton Bay pine)","GO:0045017, GO:0004144, GO:0016020, GO:0016021","HUB"
"ppt_175280","A0A0K0M6V7tr=APRN  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0046658","HUB"
"ppt_56210","---NA---","","HUB"
"ppt_155453","---NA---","","HUB"
"ppt_160369","Q9FGJ9tr=ASG7  Arabidopsis thaliana (Mouse-ear cress)","GO:0008150, GO:0010286, GO:0003674, GO:0005739, GO:0016020, GO:0016021","HUB"
"ppt_226338","---NA---","","HUB"
"ppt_178065","Q9SS01sp=Benzoate--CoA ligase, peroxisomal Arabidopsis thaliana (Mouse-ear cress)","GO:0019761, GO:0018858, GO:0005777","HUB"
"ppt_47242","Q9SFE4sp=Ethylene-responsive transcription factor ERF012 Arabidopsis thaliana (Mouse-ear cress)","GO:0009751, GO:0009753, GO:0009873, GO:0034605, GO:0045893, GO:0071497, GO:0003677, GO:0003700, GO:0005515, GO:0005634","HUB"
"ppt_41069","A0A061F5P5tr=Late embryogenesis abundant hydroxyproline-rich glycoprotein family  Theobroma cacao (Cacao) (Cocoa)","GO:0016021","HUB"
"ppt_160370","Q9FGJ9tr=ASG7  Arabidopsis thaliana (Mouse-ear cress)","GO:0008150, GO:0010286, GO:0003674, GO:0005739, GO:0016020, GO:0016021","HUB"
"ppt_237677","W1PP92tr=Uncharacterized protein  Amborella trichopoda","GO:0016020, GO:0016021","HUB"
"ppt_126806","U5CXK9tr=Uncharacterized protein  Amborella trichopoda","GO:0002229, GO:0006468, GO:0006952, GO:0007178, GO:0042742, GO:0004672, GO:0004675, GO:0005524, GO:0030246, GO:0005886, GO:0016020, GO:0016021","HUB"
"ppt_56214","---NA---","","HUB"
"ppt_126807","A0A1D5V1E0tr=Uncharacterized protein  Triticum aestivum (Wheat)","GO:0002229, GO:0006468, GO:0006952, GO:0007178, GO:0042742, GO:0004672, GO:0004675, GO:0005524, GO:0030246, GO:0005886, GO:0016020, GO:0016021","HUB"
"ppt_236389","---NA---","","HUB"
"ppt_56213","---NA---","","HUB"
"ppt_56215","---NA---","","HUB"
"ppt_226335","---NA---","","HUB"
"ppt_126805","A0A1D5V1E0tr=Uncharacterized protein  Triticum aestivum (Wheat)","GO:0002229, GO:0006468, GO:0006952, GO:0007178, GO:0042742, GO:0004672, GO:0004675, GO:0005524, GO:0030246, GO:0005886, GO:0016020, GO:0016021","HUB"
"ppt_203200","A9P255tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_68780","---NA---","","HUB"
"ppt_281066","A9NQJ9sp=Xyloglucan endotransglucosylase/hydrolase  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0010411, GO:0042546, GO:0071555, GO:0004553, GO:0016762, GO:0005618, GO:0048046","HUB"
"ppt_73328","Q7XQR1tr=OSJNBa0091D06.3 protein  Oryza sativa subsp. japonica (Rice)","GO:0009733, GO:0010029, GO:1900057, GO:0005634, GO:0005737","HUB"
"ppt_65746","B8LKE3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006629","HUB"
"ppt_56208","---NA---","","HUB"
"ppt_176759","A0A0D6QV99sp=Patatin  Araucaria cunninghamii (Hoop pine) (Moreton Bay pine)","GO:0016787","HUB"
"ppt_65733","B8LKE3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006629","HUB"
"ppt_120981","---NA---","","HUB"
"ppt_55656","A0A0C9S8V4tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_10369_1553 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_77477","A0A199UV68tr=Protein YLS9  Ananas comosus (Pineapple) (Ananas ananas)","GO:0016021","HUB"
"ppt_87388","---NA---","","HUB"
"ppt_132647","M4HXW5sp=Monofunctional isopimaradiene synthase, chloroplastic  Pinus banksiana (Jack pine) (Pinus divaricata)","GO:0006952, GO:0000287, GO:0010333, GO:0009507","HUB"
"ppt_176758","A0A0D6QV99sp=Patatin  Araucaria cunninghamii (Hoop pine) (Moreton Bay pine)","GO:0016787","HUB"
"ppt_180034","---NA---","","HUB"
"ppt_202868","---NA---","","HUB"
"ppt_130245","A0A0C9S8V4tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_10369_1553 transcribed RNA sequence  Wollemia nobilis","GO:0016020","HUB"
"ppt_202191","---NA---","","HUB"
"ppt_56209","---NA---","","HUB"
"ppt_219012","---NA---","","HUB"
"ppt_202192","---NA---","","HUB"
"ppt_112469","A0A061GPE7tr=Pleiotropic drug resistance 12  Theobroma cacao (Cacao) (Cocoa)","GO:0055085, GO:0005524, GO:0016887, GO:0042626, GO:0005886, GO:0016021","HUB"
"ppt_77207","A0A0D6QSA8tr=Uncharacterized protein  Araucaria cunninghamii (Hoop pine) (Moreton Bay pine)","GO:0006468, GO:0004672, GO:0005524, GO:0016021","HUB"
"ppt_3095","Q9SFE4sp=Ethylene-responsive transcription factor ERF012 Arabidopsis thaliana (Mouse-ear cress)","GO:0009751, GO:0009753, GO:0034605, GO:0045893, GO:0071497, GO:0003677, GO:0003700, GO:0005515, GO:0005634","HUB"
"ppt_216099","---NA---","","HUB"
"ppt_107088","Q9SLP3tr=Polygalacturonase  Cucumis sativus (Cucumber)","GO:0005975, GO:0008152, GO:0071555, GO:0004650, GO:0016787, GO:0016798, GO:0016829, GO:0005576","HUB"
"ppt_218999","---NA---","","HUB"
"ppt_55655","A0A0C9S8V4tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_10369_1553 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_65743","B8LKE3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006629","HUB"
"ppt_53583","A9NTQ5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_180028","D5AD80tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_63742","---NA---","","HUB"
"ppt_219466","A9NWU5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0003824","HUB"
"ppt_104681","B8LQX6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0016020, GO:0016021","HUB"
"ppt_220689","A4L7R7sp=Defensin-1 Pinus sylvestris (Scots pine)","GO:0050829, GO:0050832, GO:0005576","HUB"
"ppt_66284","---NA---","","HUB"
"ppt_71673","A0A176VP49tr=Uncharacterized protein  Marchantia polymorpha subsp. polymorpha","GO:0005509","HUB"
"ppt_226432","A0A0C9S878tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_12179_1769 transcribed RNA sequence  Wollemia nobilis","GO:0016020","HUB"
"ppt_129836","M4HYP3sp=Monofunctional isopimaradiene synthase, chloroplastic  Pinus contorta (Shore pine) (Lodgepole pine)","GO:0006952, GO:0000287, GO:0010333, GO:0009507","HUB"
"ppt_125287","A9NTA0tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0030001, GO:0046872","HUB"
"ppt_178063","Q9C8D4sp=Butyrate--CoA ligase AAE11, peroxisomal Arabidopsis thaliana (Mouse-ear cress)","GO:0019605, GO:0047760","HUB"
"ppt_213207","A9NW04tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006629","HUB"
"ppt_169558","A9NQJ9sp=Xyloglucan endotransglucosylase/hydrolase  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0010411, GO:0042546, GO:0071555, GO:0004553, GO:0016762, GO:0005618, GO:0048046","HUB"
