"Seq ID","Seq Description","GO ID","HUBGENE"
"ppt_2077","A5JYF5tr=R2R3-MYB transcription factor MYB11  Picea glauca (White spruce) (Pinus glauca)","GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_2590","G7J6F2tr=Heat shock transcription factor  Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0006355, GO:0008356, GO:0034605, GO:0043618, GO:0061408, GO:0000978, GO:0003677, GO:0003700, GO:0043565, GO:0005634, GO:0042025","NO-H"
"ppt_3095","Q9SFE4sp=Ethylene-responsive transcription factor ERF012 Arabidopsis thaliana (Mouse-ear cress)","GO:0009751, GO:0009753, GO:0034605, GO:0045893, GO:0071497, GO:0003677, GO:0003700, GO:0005515, GO:0005634","HUB"
"ppt_3349","Q7X6U9tr=OSJNBb0034G17.1 protein  Oryza sativa subsp. japonica (Rice)","GO:0030154, GO:0003700, GO:0005515, GO:0043167, GO:0043565, GO:0005634","NO-H"
"ppt_4306","A9SXW2tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006352, GO:0006355, GO:0015867, GO:0055085, GO:0003700, GO:0005347, GO:0016020, GO:0016021","NO-H"
"ppt_4849","Q9ZWA6sp=Zinc finger protein MAGPIE  Arabidopsis thaliana (Mouse-ear cress)","GO:0008356, GO:0009939, GO:0010075, GO:0010150, GO:0034504, GO:0045893, GO:0048364, GO:0048510, GO:0048573, GO:0003700, GO:0019900, GO:0043565, GO:0046872, GO:0005634","NO-H"
"ppt_5319","A0A103YIA4tr=AP2/ERF domain-containing protein  Cynara cardunculus var. scolymus (Artichoke) (Cynara scolymus)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_6031","A0A199W690tr=Ethylene-responsive transcription factor 2  Ananas comosus (Pineapple) (Ananas ananas)","GO:0006355, GO:0003677, GO:0003700, GO:0005634, GO:0016021","NO-H"
"ppt_8095","A0A023R814tr=NFYA3  Larix kaempferi","GO:0006355, GO:0000978, GO:0003700, GO:0005634, GO:0016602","NO-H"
"ppt_8500","Q9LHS9sp=Probable transcriptional regulator RABBIT EARS Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0009409, GO:0048441, GO:0003700, GO:0005634","NO-H"
"ppt_10565","A0A1D1ZID2tr=Transcription factor steA  Anthurium amnicola","GO:0006355, GO:0003676, GO:0003700, GO:0005634","NO-H"
"ppt_10697","A6BLW4sp=Nuclear transcription factor Y subunit C-2  Oryza sativa subsp. japonica (Rice)","GO:0009738, GO:0009740, GO:0009908, GO:0010029, GO:0045893, GO:0048579, GO:0051247, GO:2000306, GO:2000905, GO:0000978, GO:0003700, GO:0003712, GO:0046982, GO:0005634, GO:0005829, GO:0016021, GO:0016602","NO-H"
"ppt_10735","A0A023ZYJ7tr=Ethylene responsive factor 1-like protein  Pinus massoniana","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_10880","A6BLW4sp=Nuclear transcription factor Y subunit C-2  Oryza sativa subsp. japonica (Rice)","GO:0009738, GO:0009740, GO:0009908, GO:0010029, GO:0045893, GO:0048579, GO:0051247, GO:2000306, GO:2000905, GO:0000978, GO:0003700, GO:0003712, GO:0046982, GO:0005634, GO:0005829, GO:0016021, GO:0016602","NO-H"
"ppt_11017","Q8LDC8sp=Ethylene-responsive transcription factor 1B Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0006952, GO:0009873, GO:0010200, GO:0003677, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_11462","Q9LQZ2sp=Dehydration-responsive element-binding protein 2D Arabidopsis thaliana (Mouse-ear cress)","GO:0006812, GO:0009737, GO:0010200, GO:0010286, GO:0045893, GO:0003700, GO:0005515, GO:0005524, GO:0043565, GO:0005634","NO-H"
"ppt_11543","A0A167V901tr=Transcription factor MYB30  Picea abies (Norway spruce) (Picea excelsa)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
